Class Name,ATFD,CCC,CBO,DAC,DIT,CHD,CHEF,CHER,CHL,CHVC,CHVL,LCOM,CLOC,CMI,MPC,NCSS,NOAC,NOAM,NOA,SIZE2,NOC,NOM,NOO,NOOM,NOPA,RFC,TCC,WOC,WMC,Comentário
com.example.Application,0,0,0,0,1,3,90,0.0067,10,8,30,1,3,79.2493,1,1,0,1,0,15,0,1,15,0,0,2,0,1,1,"Classe simples, coesa (LCOM=1.0), pouco acoplada (CBO=0.0) e com apenas 1 método; valores dentro do padrão recomendado."
com.example.base.ui.MainErrorHandler,4,0,0,1,1,15,2875.3046,0.0674,38,33,191.687,1,15,58.373,14,8,0,1,1,15,0,1,14,0,0,16,0,1,1,"LOC e complexidade moderados; acoplamento baixo (CBO=0), muitos comentários (CLOC=15), boa organização e clareza."
com.example.base.ui.MainLayout,12,2,0,0,3,18.3158,7255.2016,0.1249,73,43,396.1173,2,27,50.3707,19,18,0,3,11,100,N/A,4,97,0,0,21,0,1,5,"Valor elevado de ATFD (12) e comentários (CLOC=27), número de métodos e tamanho de classe bastante altos; revisar divisão."
com.example.base.ui.component.ViewToolbar,12,1,3,0,3,12.1136,4411.5331,0.0897,71,35,364.1791,1,23,52.2147,10,16,0,1,9,79,N/A,2,78,0,0,8,0,1,3,"Níveis altos de ATFD e acoplamento (CBO=3), pode ser útil refatorar para melhorar separação de responsabilidades."
com.example.currencyconversion.Conversion,1,12,12,5,1,57.9452,136136.9902,0.8821,333,133,2349.4091,1,60,37.2274,1,43,0,5,6,24,0,5,18,0,0,47,0.2,1,17,"Alta complexidade (CCC=12, LCOM=1), acoplamento elevado (CBO=12); potencial code smell por excesso de responsabilidade."
com.example.currencyconversion.Conversion.CacheEntry,1,0,2,2,1,5,371.1546,0.0172,19,15,74.2309,1,2,80.2517,4,3,0,1,2,17,N/A,2,15,0,0,5,0,1,2,"Pequena e coesa, pouco acoplada, sem desvios nas métricas; não há sinais claros de problemas."
com.example.currencyconversion.Conversion.ConversionResult,0,0,2,2,1,2.5,339.8342,0.0162,32,19,135.9337,0,6,68.1088,0,7,0,0,7,21,N/A,1,14,0,7,1,0,0,1,"Classe auxiliar de dados, simples, baixa complexidade e acoplamento; adequada à função."
com.example.currencyconversion.Conversion.EraV6,0,0,1,2,1,2.5,38.7744,0.0038,6,6,15.5098,1,1,91.765,0,1,1,1,4,18,N/A,1,14,0,0,1,0,0,1,"Muito simples, uma responsabilidade clara, todas as métricas regulares."
com.example.currencyconversion.Conversion.RateBundle,0,0,2,2,1,2.5,185.022,0.0108,20,13,74.0088,0,3,76.5037,0,4,0,0,4,18,N/A,1,14,0,0,1,0,0,1,"Classe de apoio, pequena e coesa, sem desvios relevantes."
com.example.currencyconversion.CurrencyConversionView,7,7,2,7,3,62.3,209125.1654,1.1744,450,176,3356.7442,1,101,31.2802,114,87,0,2,19,168,0,3,156,0,0,47,0,1,10,"Elevada complexidade e LOC (CCC=7, CHVL=3356+), comprimento excessivo pode dificultar manutenção; recomenda-se refatoração."
com.example.examplefeature.Task,1,5,5,4,1,22.2727,11941.8866,0.1742,95,50,536.1663,4,46,44.2548,11,20,5,6,5,28,0,10,23,2,0,16,0.1333,0.1667,15,"Classe razoável, mas número de métodos relativamente alto (NOM=10), acoplamento elevado (CBO=5), atenção a possíveis code smells."
com.example.examplefeature.TaskRepository,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Praticamente sem implementação ou dados; provavelmente interface ou classe de ligação.
com.example.examplefeature.TaskService,1,1,5,1,1,17.1,3655.1449,0.0791,44,29,213.7512,1,24,53.3478,8,10,0,4,1,19,0,5,18,0,0,15,1,1,6,"Simples, coesa, valores de acoplamento dentro do esperado, sem anomalidades."
com.example.examplefeature.exportpdf.DownloadPdfView,2,10,2,2,1,34.8679,35277.8933,0.3585,154,95,1011.7578,1,43,42.9733,30,28,0,3,2,19,0,4,17,0,0,25,0,1,14,"Muitos métodos e alta complexidade, pode se beneficiar de refatoração para modularização e reduções."
com.example.examplefeature.exportpdf.ExportPdfPreviewView,2,1,1,0,5,15.84,5894.9741,0.1088,67,47,372.1575,0,25,51.4132,20,15,0,0,8,131,0,1,131,0,0,20,0,0,2,"Pequena, pouco acoplada e simples, adequada à finalidade."
com.example.examplefeature.exportpdf.PdfExportService,1,14,5,2,1,118.3102,456164.3179,1.9753,503,203,3855.664,1,123,28.8857,17,93,0,8,2,24,0,9,22,0,0,67,0.0357,1,22,"Elevada complexidade e tamanho (CCC=14, LOC>100), acoplamento relevante (CBO=5); avaliação para extração de classes recomendada."
com.example.examplefeature.exportpdf.PdfExportService.Decorations,1,3,1,2,2,28,18042.5815,0.2293,110,58,644.3779,1,36,46.1213,17,22,0,0,3,43,0,4,40,3,0,17,1,1,7,"Coesa e relativamente enxuta, porém NOC acima do estimado, demanda atenção à hierarquia."
com.example.examplefeature.exporttxt.TaskTextController,5,2,3,2,1,22.9688,12992.2424,0.1842,95,62,565.6486,1,20,52.163,26,11,0,1,3,18,0,2,15,0,0,21,0,1,4,"Moderada em tamanho e complexidade, valores dentro do habitual."
com.example.examplefeature.ui.TaskListView,11,12,4,6,5,91.0084,304360.6536,1.5082,432,214,3344.3137,2,134,28.5582,128,94,0,3,14,140,0,4,134,0,0,85,0,1,15,"Bastante grande, muitos métodos (NOM=4) e alta complexidade (CCC=12); modularização pode facilitar testes e manutenção."
com.example.qr.QRCodeService,5,3,3,0,1,15.5,5500.3774,0.1039,65,44,354.8631,1,21,53.0925,12,14,0,2,0,15,N/A,2,15,0,0,16,0,1,5,"Coesa, acoplamento baixo, adequada à responsabilidade de serviço."
com.example.qr.QrView,0,0,1,1,3,23.2143,12023.6042,0.1749,90,54,517.9399,0,20,52.6195,22,24,0,0,8,155,0,1,154,0,0,27,0,0,1,"Simples, pouco acoplada, responsabilidade clara."
