Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.example.Application.main(String[]);0;0;1.0;1;0;2.5;38.7744;0.0038;6;6;15.5098;3;0.0;0;81.3571;0;1;1;0;1
com.example.base.ui.MainErrorHandler.errorHandlerInitializer();0;0;0.7692;13;4;11.5909;1783.0916;0.049;32;28;153.8354;15;0.2;0;59.0475;2;1;8;0;0
com.example.base.ui.MainLayout.MainLayout();0;0;0.25;2;1;2.5;38.7744;0.0038;6;6;15.5098;4;0.0;0;78.6317;0;1;1;0;0
com.example.base.ui.MainLayout.createHeader();0;0;1.0;2;9;3.6923;423.4857;0.0188;27;19;114.694;10;0.0;0;63.7836;0;1;12;0;0
com.example.base.ui.MainLayout.createSideNav();0;0;0.8;4;1;7.5;376.4211;0.0174;14;12;50.1895;6;0.0;0;71.1292;0;1;3;0;0
com.example.base.ui.MainLayout.createSideNavItem(MenuEntry);2;1;0.3333;3;1;15.75;1198.6931;0.0376;22;11;76.1075;7;0.0;0;68.3023;1;2;1;0;1
com.example.base.ui.component.ViewToolbar.ViewToolbar(String, Component[]);1;1;1.0;3;12;6.0952;1539.7486;0.0444;52;29;252.615;17;0.0;0;56.2512;1;2;20;0;2
com.example.base.ui.component.ViewToolbar.group(Component[]);0;0;1.0;1;6;3.375;192.7473;0.0111;15;14;57.1103;6;0.0;0;70.7308;0;1;8;0;1
com.example.currencyconversion.Conversion.convert(String, String, BigDecimal);4;1;0.4;3;3;12.8947;3837.7219;0.0817;59;33;297.6193;17;0.0;0;55.6283;0;5;13;0;3
com.example.currencyconversion.Conversion.fetchEraV6Keyed(String, String);2;1;0.6667;12;2;15.5294;4350.1969;0.0888;53;39;280.1263;13;0.3333;0;58.4177;2;3;13;0;2
com.example.currencyconversion.Conversion.fetchOpenV6(String);2;1;0.6667;12;2;15.8125;4315.1084;0.0883;52;38;272.8922;13;0.3333;0;58.5058;2;3;12;0;1
com.example.currencyconversion.Conversion.getRates(String);4;1;0.4615;11;1;28.875;6592.8875;0.1172;47;29;228.3251;13;0.5;0;58.9737;0;5;6;0;1
com.example.currencyconversion.Conversion.scale(BigDecimal, int);0;0;1.0;1;1;2.5;60.0;0.0051;8;8;24.0;4;0.0;0;77.2024;0;1;3;0;2
